title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
The Stoning of Soraya M.,115053,452839,2009-06-26,9,9
Krazzy 4,322426,6786866,2008-04-11,0,0
Rise of the Planet of the Apes,54806191,305040864,2011-08-05,3538,13094
Arbitrage,2002165,27565482,2012-09-14,98,124
The Day the Earth Stood Still,30480153,153726881,2008-12-12,1229,4198
Blindsight,5279,277078,2008-03-05,3,0
African Cats,6003200,15429000,2011-04-22,0,0
Dil Bole Hadippa!,351457,484165,2009-09-18,0,0
Puss in Boots,34077439,405726973,2011-10-28,142,483
Playing for Keeps,5750288,,2012-12-07,229,1016
More Than a Game,182943,9712,2009-10-02,1839,7042
Disgrace,12615,2052869,2009-09-18,42,332
The Raid 2,165292,,2014-03-28,5774,17526
Veronica Mars,1988351,163000,2014-03-14,3175,13644
Chapter 27,13910,131273,2008-03-28,12,147
Think Like a Man Too,29241911,4999246,2014-06-20,1677,10646
Not Forgotten,18468,88311,2009-05-15,510,7567
The Wolfman,31479235,77810085,2010-02-12,273,863
"Surfer, Dude",5971,,2008-09-05,3,32
Adventureland,5722039,1120352,2009-04-03,136,1237
Magic in the Moonlight,412095,21800000,2014-07-25,278,1615
Safe,7892539,23204106,2012-04-27,8876,60997
Ice Age: Dawn of the Dinosaurs,41690382,690113112,2009-07-01,5,14
Indiana Jones and the Kingdom of the Crystal Skull,100137835,469534914,2008-05-22,687,3853
Poisoned by Polonium: The Litvinenko File,2402,24387,2008-03-21,0,0
Beautiful Losers,10607,7678,2008-08-08,3349,19402
Nobel Son,333912,5200,2008-12-05,1,19
What's Your Rashee?,169005,57013,2009-09-25,0,0
The Counterfeiters,87514,13326143,2008-02-22,21,98
Elsa & Fred,10246,2796813,2008-06-27,0,0
R.I.P.D.,12691415,44705365,2013-07-19,8360,30851
The Taking of Pelham 1 2 3,23373102,84713814,2009-06-12,8,51
Hamlet 2,439925,39072,2008-08-22,146,495
City of Men,130579,2264601,2008-02-29,6556,21764
Remember Me,8089139,36964649,2010-03-12,6098,25738
The Haunting of Molly Hartley,5423315,1858937,2008-10-31,0,0
The Slammin' Salmon,26167,18834,2009-12-11,72,397
Secretariat,12694770,537416,2010-10-08,10,7
The Hurt Locker,145352,32212961,2009-06-26,5628,21078
