title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
The Cold Light of Day,1831588,13100000,2012-09-07,62,140
The Second Best Exotic Marigold Hotel,8540370,46300000,2015-03-06,81,701
Transformers: Age of Extinction,100038390,845966021,2014-06-27,8256,74027
Just Go With It,30514732,111917482,2011-02-11,3374,10292
Mr. Peabody & Sherman,32207057,161406000,2014-03-07,745,1662
Savages,16016910,35584084,2012-07-06,3738,6282
The Watch,12750297,32914862,2012-07-27,5123,35914
Act of Valor,24476632,11259919,2012-02-24,2363,5818
Yeh Jawaani Hai Deewani,1568677,,2013-05-31,0,1
Focus,18685137,94800000,2015-02-27,14238,103999
The Incredible Burt Wonderstone,10177257,4900000,2013-03-15,1983,2484
Silent Hill: Revelation 3D,8023036,34773639,2012-10-26,646,888
The Quiet Ones,3880053,9325000,2014-04-25,6498,48507
Battleship,25534825,237602860,2012-05-18,6716,33538
Johnny English Reborn,3833300,151772616,2011-10-21,112,313
St. Vincent,109878,10490051,2014-10-10,3370,18475
Unknown,21856389,67100000,2011-02-18,8701,14367
The Gambler,9129999,5490138,2014-12-25,1298,3487
The Skin I Live In,223119,27656541,2011-10-14,169,561
The Hunger Games: Catching Fire,158074286,440244916,2013-11-22,17189,90802
Won't Back Down,2603370,,2012-09-28,1494,3031
Chennai Express,2220497,,2013-08-08,4,3
Tyler Perry's The Single Moms Club,8075111,364000,2014-03-14,0,0
Our Idiot Brother,7011631,,2011-08-26,99,326
Big Miracle,7760205,4561915,2012-02-03,1791,5454
Jersey Boys,13319371,20300000,2014-06-20,1013,2454
White House Down,24852258,132262953,2013-06-28,772,3156
The Descendants,1190096,94659025,2011-11-16,361,2180
Arthur Christmas,12068931,100957003,2011-11-23,125,301
Hercules,29800263,170700000,2014-07-25,18257,82038
Rio,39225962,341015951,2011-04-15,10448,17260
No Good Deed,24250283,1286783,2014-09-12,2492,22128
Before Midnight,246914,3061842,2013-05-24,3555,56190
Extremely Loud & Incredibly Close,72348,23400000,2011-12-25,176,1015
Friends with Kids,2019083,5768000,2012-03-09,370,2494
Sherlock Holmes: A Game of Shadows,39637079,358600000,2011-12-16,658,3196
A Thousand Words,6176280,3594150,2012-03-09,1600,4503
Labor Day,5175282,6904284,2014-01-31,966,17662
The Campaign,26588460,18000000,2012-08-10,19250,114749
Colombiana,10408176,24300000,2011-08-26,40,382
Dr. Seuss' The Lorax,70217070,134809816,2012-03-02,2443,5341
Hop,37543710,75868418,2011-04-01,2358,7055
We're the Millers,26419396,119600000,2013-08-07,2512,8824
Justin Bieber: Never Say Never,29514054,26022917,2011-02-11,706,7612
You're Next,7020196,,2013-08-23,1023,3877
Fruitvale Station,386291,1284491,2013-07-12,964,3933
The Master,736311,11880786,2012-09-14,22077,34319
Run All Night,11012305,21500000,2015-03-13,245,903
The Collection,3104269,,2012-11-30,14691,26610
Sex Tape,14608152,87526036,2014-07-18,3938,35042
Monte Carlo,7453944,16480896,2011-07-01,11,13
G.I. Joe: Retaliation,40501814,253217645,2013-03-28,2140,12319
Think Like a Man,33636303,4523302,2012-04-20,2331,7854
Hugo,11364505,111905653,2011-11-23,11006,68449
Larry Crowne,13096065,36400000,2011-07-01,19,112
Vampire Academy,3921742,7600000,2014-02-07,194,754
Total Recall,25577758,139589199,2012-08-03,11299,51294
Metallica Through the Never,1576561,4553000,2013-09-27,79,127
Lone Survivor,90872,24200000,2013-12-25,5043,24096
A Haunted House 2,8843875,6630000,2014-04-18,76,299
Sanctum,9447930,85400000,2011-02-04,489,535
The Rover,69302,1181000,2014-06-13,594,4952
Dallas Buyers Club,260865,27900000,2013-11-01,7188,88093
Wanderlust,6526650,4162198,2012-02-24,1604,6128
As Above/So Below,8632820,18914014,2014-08-29,234,1336
Don't Be Afraid of the Dark,8525728,12946486,2011-08-26,183,435
The Mechanic,11422006,32919000,2011-01-28,1464,7157
Turbo,21312625,199542554,2013-07-17,2044,3637
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",18360230,33700000,2014-10-10,221,1661
The Roommate,15002635,3192652,2011-02-04,3144,13586
Enough Said,232800,7738000,2013-09-18,2722,21979
The Ides of March,10470143,35030527,2011-10-07,667,3185
The Lone Ranger,29210849,171200000,2013-07-03,3640,13206
Closed Circuit,2464931,,2013-08-28,34,195
Tyler Perry's Temptation: Confessions of a Marriage Counselor,21641679,1150000,2013-03-29,0,0
People Like Us,4255423,,2012-06-29,1245,11266
Ender's Game,27017351,63800000,2013-11-01,18164,132274
The Secret Life of Walter Mitty,12765508,129896484,2013-12-25,16385,39549
Dolphin Tale 2,15873397,10400000,2014-09-12,188,578
X-Men: Days of Future Past,90823660,514200000,2014-05-23,25117,274587
Prometheus,51050101,276877385,2012-06-08,6675,33349
Contraband,24349815,29734212,2012-01-13,3307,23618
Bullet to the Head,4548201,,2013-02-01,1351,2091
Soul Surfer,10601862,3235566,2011-04-08,4,4
The Theory of Everything,208763,84953337,2014-11-07,15484,182593
Paul,13043310,60571070,2011-03-18,27853,174566
The Croods,43639736,400036243,2013-03-22,2629,57278
Priest,14953664,49172505,2011-05-13,622,4522
It Follows,160089,,2015-03-13,19568,65363
The Legend of Hercules,8868318,42430914,2014-01-10,324,1142
That Awkward Moment,8742109,14400000,2014-01-31,180,1498
The Man with the Iron Fists,7910980,4087155,2012-11-02,3478,6085
The Book of Life,17005218,47285563,2014-10-17,5805,27492
Blended,14284031,80500000,2014-05-23,255,2210
Your Highness,9360020,3260033,2011-04-08,939,3582
Black Nativity,3669530,435996,2013-11-27,5,0
Out of the Furnace,5220288,4104000,2013-12-04,740,1681
That's My Boy,13453714,20788004,2012-06-15,1249,13336
Fun Size,4101017,2007824,2012-10-26,962,71744
What's Your Number?,5421669,16415012,2011-09-30,475,8119
Dhoom 3,3423508,80000000,2013-12-20,4,14
Killing Them Softly,6812900,22904409,2012-11-30,2338,6812
Contagion,22403596,59800000,2011-09-09,2848,6706
Left Behind,6300147,5663000,2014-10-03,3578,24810
When the Game Stands Tall,8381509,,2014-08-22,123,434
Into The Storm,17346427,113000000,2014-08-08,370,1911
Jurassic Park 3D,18620145,71100000,2013-04-05,865,1273
Dolphin Tale,19152401,23117618,2011-09-23,284,736
The Drop,4104552,7933992,2014-09-12,16219,45877
Haywire,8425370,14430210,2012-01-20,1534,4347
Machete Kills,3837183,7000000,2013-10-11,9831,18231
Walking with Dinosaurs,7091938,90470397,2013-12-20,66,198
Footloose,15556113,11740586,2011-10-14,86,1200
Jane Eyre,182885,23467967,2011-03-11,50,487
The Counselor,7842930,54035619,2013-10-25,1515,6288
Spy Kids: All the Time in the World,11644672,47026122,2011-08-19,73,239
Frankenweenie,11412213,46200000,2012-10-05,670,788
The Longest Ride,13019686,3027000,2015-04-10,80,165
Alex Cross,11396768,8700000,2012-10-19,1081,2870
Nebraska,140401,,2013-11-15,4095,53965
Sparkle,11643342,240000,2012-08-17,454,897
This Is 40,11579175,20514281,2012-12-21,2362,16188
Evil Dead,25775847,43303096,2013-04-05,11271,17130
Red Riding Hood,14005335,51500000,2011-03-11,492,7598
The Grey,19665101,25698095,2012-01-27,23221,103436
Her,260382,21783000,2013-12-18,4302,39293
The Hundred-Foot Journey,10979290,34640000,2014-08-08,5,30
50/50,8644095,4173591,2011-09-30,21200,111027
Paranormal Activity 4,29003866,88917657,2012-10-19,301,887
The Interview,1794666,5200000,2014-12-25,34121,280196
The Monuments Men,22003433,76952415,2014-02-07,2207,3846
What to Expect When You're Expecting,10547068,43231799,2012-05-18,1420,4018
A Million Ways to Die in the West,16797385,43268783,2014-05-30,8232,56342
Mirror Mirror,18132085,118083355,2012-03-30,7418,21987
Jackass Presents: Bad Grandpa,32055177,49828518,2013-10-25,1965,15396
Captain America: The First Avenger,65058524,193915269,2011-07-22,4392,6682
In Time,12050368,136410501,2011-10-28,8901,127737
The Imitation Game,479352,127156278,2014-11-28,18362,196910
RoboCop,21681430,184081958,2014-02-12,9561,94783
The Debt,9909499,14458820,2011-08-31,720,3492
Jack the Giant Slayer,27202226,132500000,2013-03-01,3247,33003
Drive Angry,5187625,18210368,2011-02-25,616,4212
One For the Money,11515790,10479194,2012-01-27,6448,31673
Project Almanac,8310252,9900000,2015-01-30,270,1300
Rock of Ages,14437269,20900000,2012-06-15,1724,8202
Killer Elite,9352008,31258790,2011-09-23,49,194
300: Rise of An Empire,45038460,231000000,2014-03-07,4397,11187
The Pirates! Band of Misfits,11137734,92002915,2012-04-27,1564,3868
The Raven,7289642,13649479,2012-04-27,3327,68214
Dredd,6278491,22211811,2012-09-21,14312,56908
Guardians of the Galaxy,94320883,441000000,2014-08-01,26210,342307
